timestamp,x,y,z,label
2022-07-06 07:41:54.320,3.0,239.0,34.0,1.0
2022-07-06 07:41:54.360,9.0,247.0,30.0,1.0
2022-07-06 07:41:54.400,8.0,252.0,31.0,1.0
2022-07-06 07:41:54.440,0.0,255.0,37.0,1.0
2022-07-06 07:41:54.480,-12.0,252.0,39.0,1.0
2022-07-06 07:41:54.520,-15.0,248.0,40.0,1.0
2022-07-06 07:41:54.560,-9.0,244.0,41.0,1.0
2022-07-06 07:41:54.600,1.0,241.0,40.0,1.0
2022-07-06 07:41:54.640,6.0,242.0,38.0,1.0
2022-07-06 07:41:54.680,5.0,246.0,35.0,1.0
2022-07-06 07:41:54.720,1.0,247.0,32.0,1.0
2022-07-06 07:41:54.760,-3.0,249.0,33.0,1.0
2022-07-06 07:41:54.800,-5.0,250.0,36.0,1.0
2022-07-06 07:41:54.840,-3.0,253.0,38.0,1.0
2022-07-06 07:41:54.880,-2.0,254.0,39.0,1.0
2022-07-06 07:41:54.920,-2.0,251.0,39.0,1.0
2022-07-06 07:41:54.960,-1.0,244.0,37.0,1.0
2022-07-06 07:41:55.000,-1.0,241.0,37.0,1.0
2022-07-06 07:41:55.040,0.0,240.0,38.0,1.0
2022-07-06 07:41:55.080,0.0,242.0,38.0,1.0
2022-07-06 07:41:55.120,0.0,246.0,36.0,1.0
2022-07-06 07:41:55.160,0.0,250.0,36.0,1.0
2022-07-06 07:41:55.200,0.0,252.0,35.0,1.0
2022-07-06 07:41:55.240,-1.0,252.0,37.0,1.0
2022-07-06 07:41:55.280,-2.0,251.0,36.0,1.0
2022-07-06 07:41:55.320,-2.0,248.0,37.0,1.0
2022-07-06 07:41:55.360,-1.0,245.0,38.0,1.0
2022-07-06 07:41:55.400,-1.0,243.0,39.0,1.0
2022-07-06 07:41:55.440,1.0,243.0,37.0,1.0
2022-07-06 07:41:55.480,1.0,245.0,36.0,1.0
2022-07-06 07:41:55.520,0.0,246.0,34.0,1.0
2022-07-06 07:41:55.560,-1.0,249.0,35.0,1.0
2022-07-06 07:41:55.600,0.0,251.0,35.0,1.0
2022-07-06 07:41:55.640,0.0,249.0,35.0,1.0
2022-07-06 07:41:55.680,0.0,249.0,39.0,1.0
2022-07-06 07:41:55.720,0.0,246.0,38.0,1.0
2022-07-06 07:41:55.760,0.0,246.0,38.0,1.0
2022-07-06 07:41:55.800,0.0,246.0,36.0,1.0
2022-07-06 07:41:55.840,0.0,247.0,34.0,1.0
2022-07-06 07:41:55.880,0.0,248.0,34.0,1.0
2022-07-06 07:41:55.920,0.0,246.0,36.0,1.0
2022-07-06 07:41:55.960,0.0,245.0,37.0,1.0
2022-07-06 07:41:56.000,-2.0,246.0,40.0,1.0
2022-07-06 07:41:56.040,0.0,247.0,39.0,1.0
2022-07-06 07:41:56.080,1.0,249.0,37.0,1.0
2022-07-06 07:41:56.120,2.0,249.0,34.0,1.0
2022-07-06 07:41:56.160,1.0,250.0,35.0,1.0
2022-07-06 07:41:56.200,-2.0,251.0,35.0,1.0
2022-07-06 07:41:56.240,-5.0,250.0,37.0,1.0
2022-07-06 07:41:56.280,-3.0,247.0,37.0,1.0
2022-07-06 07:41:56.320,-1.0,246.0,39.0,1.0
2022-07-06 07:41:56.360,0.0,244.0,38.0,1.0
2022-07-06 07:41:56.400,0.0,244.0,37.0,1.0
2022-07-06 07:41:56.440,0.0,244.0,35.0,1.0
2022-07-06 07:41:56.480,0.0,247.0,36.0,1.0
2022-07-06 07:41:56.520,0.0,248.0,33.0,1.0
2022-07-06 07:41:56.560,-2.0,250.0,36.0,1.0
2022-07-06 07:41:56.600,-1.0,249.0,38.0,1.0
2022-07-06 07:41:56.640,-1.0,247.0,39.0,1.0
2022-07-06 07:41:56.680,0.0,245.0,38.0,1.0
2022-07-06 07:41:56.720,1.0,246.0,35.0,1.0
2022-07-06 07:41:56.760,1.0,250.0,33.0,1.0
2022-07-06 07:41:56.800,1.0,251.0,35.0,1.0
2022-07-06 07:41:56.840,0.0,251.0,35.0,1.0
2022-07-06 07:41:56.880,-2.0,248.0,38.0,1.0
2022-07-06 07:41:56.920,-4.0,244.0,40.0,1.0
2022-07-06 07:41:56.960,-4.0,241.0,41.0,1.0
2022-07-06 07:41:57.000,-1.0,242.0,37.0,1.0
2022-07-06 07:41:57.040,1.0,246.0,33.0,1.0
2022-07-06 07:41:57.080,3.0,250.0,36.0,1.0
2022-07-06 07:41:57.120,2.0,252.0,35.0,1.0
2022-07-06 07:41:57.160,0.0,251.0,37.0,1.0
2022-07-06 07:41:57.200,-2.0,249.0,38.0,1.0
2022-07-06 07:41:57.240,-3.0,248.0,36.0,1.0
2022-07-06 07:41:57.280,-3.0,247.0,36.0,1.0
2022-07-06 07:41:57.320,0.0,243.0,37.0,1.0
2022-07-06 07:41:57.360,-7.0,241.0,42.0,1.0
2022-07-06 07:41:57.400,-1.0,241.0,45.0,1.0
2022-07-06 07:41:57.440,0.0,247.0,45.0,1.0
2022-07-06 07:41:57.480,-1.0,253.0,38.0,1.0
2022-07-06 07:41:57.520,0.0,254.0,34.0,1.0
2022-07-06 07:41:57.560,0.0,253.0,33.0,1.0
2022-07-06 07:41:57.600,0.0,248.0,35.0,1.0
2022-07-06 07:41:57.640,-2.0,241.0,36.0,1.0
2022-07-06 07:41:57.680,-3.0,237.0,38.0,1.0
2022-07-06 07:41:57.720,-2.0,243.0,41.0,1.0
2022-07-06 07:41:57.760,-1.0,247.0,40.0,1.0
2022-07-06 07:41:57.800,-1.0,250.0,40.0,1.0
2022-07-06 07:41:57.840,1.0,249.0,38.0,1.0
2022-07-06 07:41:57.880,2.0,246.0,39.0,1.0
2022-07-06 07:41:57.920,10.0,236.0,44.0,1.0
2022-07-06 07:41:57.960,10.0,254.0,66.0,1.0
2022-07-06 07:41:58.000,-1.0,246.0,44.0,1.0
2022-07-06 07:41:58.040,51.0,236.0,45.0,1.0
2022-07-06 07:41:58.080,19.0,253.0,47.0,1.0
2022-07-06 07:41:58.120,-19.0,252.0,42.0,1.0
2022-07-06 07:41:58.160,-35.0,252.0,43.0,1.0
2022-07-06 07:41:58.200,-14.0,246.0,42.0,1.0
2022-07-06 07:41:58.240,9.0,245.0,39.0,1.0
2022-07-06 07:41:58.280,13.0,247.0,29.0,1.0
2022-07-06 07:41:58.320,11.0,242.0,22.0,1.0
2022-07-06 07:41:58.360,3.0,236.0,28.0,1.0
2022-07-06 07:41:58.400,1.0,234.0,43.0,1.0
2022-07-06 07:41:58.440,-5.0,238.0,51.0,1.0
2022-07-06 07:41:58.480,-16.0,248.0,42.0,1.0
2022-07-06 07:41:58.520,-17.0,257.0,30.0,1.0
2022-07-06 07:41:58.560,-4.0,257.0,25.0,1.0
2022-07-06 07:41:58.600,3.0,256.0,31.0,1.0
